"id","order_id","product_id","quantity","unit_price","discount","status_id","date_allocated","purchase_order_id","inventory_id","created_at","updated_at","deleted_at"
53,46,57,100,19.5,0,2,,105,101,2023-03-14 13:25:44.985,2023-03-14 13:25:44.985,
85,58,52,40,7,0,2,,,135,2023-03-14 13:25:44.985,2023-03-14 13:25:44.985,
86,80,56,10,38,0,1,,,136,2023-03-14 13:25:44.985,2023-03-14 13:25:44.985,
33,32,43,20,46,0,2,,,68,2023-03-14 13:25:44.985,2023-03-14 13:25:44.985,
45,42,19,10,9.2,0,2,,103,110,2023-03-14 13:25:44.985,2023-03-14 13:25:44.985,
38,37,8,17,40,0,2,,,71,2023-03-14 13:25:44.985,2023-03-14 13:25:44.985,
74,74,48,40,12.75,0,2,,,124,2023-03-14 13:25:44.985,2023-03-14 13:25:44.985,
84,58,20,40,81,0,2,,,134,2023-03-14 13:25:44.985,2023-03-14 13:25:44.985,
51,45,41,50,9.65,0,2,,104,116,2023-03-14 13:25:44.985,2023-03-14 13:25:44.985,
43,42,6,10,25,0,2,,,84,2023-03-14 13:25:44.985,2023-03-14 13:25:44.985,
68,79,7,30,30,0,2,,,119,2023-03-14 13:25:44.985,2023-03-14 13:25:44.985,
72,76,4,30,22,0,2,,,122,2023-03-14 13:25:44.985,2023-03-14 13:25:44.985,
30,31,51,10,53,0,2,,,65,2023-03-14 13:25:44.985,2023-03-14 13:25:44.985,
60,51,5,25,21.35,0,2,,,93,2023-03-14 13:25:44.985,2023-03-14 13:25:44.985,
67,55,34,87,14,0,2,,,117,2023-03-14 13:25:44.985,2023-03-14 13:25:44.985,
90,81,81,0,2.99,0,5,,,,2023-03-14 13:25:44.985,2023-03-14 13:25:44.985,
80,67,74,20,10,0,2,,,130,2023-03-14 13:25:44.985,2023-03-14 13:25:44.985,
29,31,7,10,30,0,2,,,64,2023-03-14 13:25:44.985,2023-03-14 13:25:44.985,
34,33,19,30,9.2,0,2,,97,81,2023-03-14 13:25:44.985,2023-03-14 13:25:44.985,
76,72,43,5,46,0,2,,,126,2023-03-14 13:25:44.985,2023-03-14 13:25:44.985,
42,41,43,300,46,0,1,,102,104,2023-03-14 13:25:44.985,2023-03-14 13:25:44.985,
54,46,72,50,34.8,0,2,,106,114,2023-03-14 13:25:44.985,2023-03-14 13:25:44.985,
57,48,19,25,9.2,0,2,,109,112,2023-03-14 13:25:44.985,2023-03-14 13:25:44.985,
46,43,80,20,3.5,0,1,,,86,2023-03-14 13:25:44.985,2023-03-14 13:25:44.985,
83,63,8,3,40,0,2,,,133,2023-03-14 13:25:44.985,2023-03-14 13:25:44.985,
82,63,3,50,10,0,2,,,132,2023-03-14 13:25:44.985,2023-03-14 13:25:44.985,
81,60,72,40,34.8,0,2,,,131,2023-03-14 13:25:44.985,2023-03-14 13:25:44.985,
35,34,19,20,9.2,0,2,,,69,2023-03-14 13:25:44.985,2023-03-14 13:25:44.985,
66,56,48,10,12.75,0,2,,111,99,2023-03-14 13:25:44.985,2023-03-14 13:25:44.985,
55,47,34,300,14,0,2,,107,108,2023-03-14 13:25:44.985,2023-03-14 13:25:44.985,
56,48,8,25,40,0,2,,108,106,2023-03-14 13:25:44.985,2023-03-14 13:25:44.985,
28,30,80,30,3.5,0,2,,,63,2023-03-14 13:25:44.985,2023-03-14 13:25:44.985,
61,51,41,30,9.65,0,2,,,94,2023-03-14 13:25:44.985,2023-03-14 13:25:44.985,
47,43,81,50,2.99,0,1,,,87,2023-03-14 13:25:44.985,2023-03-14 13:25:44.985,
79,69,80,15,3.5,0,2,,,129,2023-03-14 13:25:44.985,2023-03-14 13:25:44.985,
59,50,21,20,10,0,2,,,92,2023-03-14 13:25:44.985,2023-03-14 13:25:44.985,
31,31,80,10,3.5,0,2,,,66,2023-03-14 13:25:44.985,2023-03-14 13:25:44.985,
52,45,40,50,18.4,0,2,,,91,2023-03-14 13:25:44.985,2023-03-14 13:25:44.985,
32,32,1,15,18,0,2,,,67,2023-03-14 13:25:44.985,2023-03-14 13:25:44.985,
39,38,43,300,46,0,2,,99,77,2023-03-14 13:25:44.985,2023-03-14 13:25:44.985,
73,75,48,40,12.75,0,2,,,123,2023-03-14 13:25:44.985,2023-03-14 13:25:44.985,
41,40,81,200,2.99,0,2,,101,73,2023-03-14 13:25:44.985,2023-03-14 13:25:44.985,
36,35,48,10,12.75,0,2,,,70,2023-03-14 13:25:44.985,2023-03-14 13:25:44.985,
27,30,34,100,14,0,2,,96,83,2023-03-14 13:25:44.985,2023-03-14 13:25:44.985,
49,44,43,25,46,0,1,,,89,2023-03-14 13:25:44.985,2023-03-14 13:25:44.985,
69,79,51,30,53,0,2,,,118,2023-03-14 13:25:44.985,2023-03-14 13:25:44.985,
77,71,40,40,18.4,0,2,,,127,2023-03-14 13:25:44.985,2023-03-14 13:25:44.985,
40,39,48,100,12.75,0,2,,100,75,2023-03-14 13:25:44.985,2023-03-14 13:25:44.985,
48,44,1,25,18,0,1,,,88,2023-03-14 13:25:44.985,2023-03-14 13:25:44.985,
78,70,8,20,40,0,2,,,128,2023-03-14 13:25:44.985,2023-03-14 13:25:44.985,
75,73,41,10,9.65,0,2,,,125,2023-03-14 13:25:44.985,2023-03-14 13:25:44.985,
71,77,6,90,25,0,2,,,121,2023-03-14 13:25:44.985,2023-03-14 13:25:44.985,
70,78,17,40,39,0,2,,,120,2023-03-14 13:25:44.985,2023-03-14 13:25:44.985,
37,36,41,200,9.65,0,2,,98,79,2023-03-14 13:25:44.985,2023-03-14 13:25:44.985,
44,42,4,10,22,0,2,,,85,2023-03-14 13:25:44.985,2023-03-14 13:25:44.985,
62,51,40,30,18.4,0,2,,,95,2023-03-14 13:25:44.985,2023-03-14 13:25:44.985,
50,44,81,25,2.99,0,1,,,90,2023-03-14 13:25:44.985,2023-03-14 13:25:44.985,
91,81,56,0,38,0,0,,,,2023-03-14 13:25:44.985,2023-03-14 13:25:44.985,
